Date,MWh
12/1/2012,12947.85
12/1/2012,12390.23
12/1/2012,12097.05
12/1/2012,12245.89
12/1/2012,12315.55
12/1/2012,12528.58
12/1/2012,13107.07
12/1/2012,14081.73
12/1/2012,15191.06
12/1/2012,15914.19
12/1/2012,16280.33
12/1/2012,16340.62
12/1/2012,16267.17
12/1/2012,16121.01
12/1/2012,16002.8
12/1/2012,16172.51
12/1/2012,17222.15
12/1/2012,17751.4
12/1/2012,17451.94
12/1/2012,16897.22
12/1/2012,16323.69
12/1/2012,15549.49
12/1/2012,14451.89
12/1/2012,13258.69
12/2/2012,12556.8
12/2/2012,12070.77
12/2/2012,11843.63
12/2/2012,11663.51
12/2/2012,11665.23
12/2/2012,11931.76
12/2/2012,12231.64
12/2/2012,12829.93
12/2/2012,13686.96
12/2/2012,14425.34
12/2/2012,14769.99
12/2/2012,14879.98
12/2/2012,14891.88
12/2/2012,14742.35
12/2/2012,14584.05
12/2/2012,14755.52
12/2/2012,16144.68
12/2/2012,17095.31
12/2/2012,16917.6
12/2/2012,16467.81
12/2/2012,15762.06
12/2/2012,14658.71
12/2/2012,13261.53
12/2/2012,12074.6
12/3/2012,11337.09
12/3/2012,10865.82
12/3/2012,11066.55
12/3/2012,11116.66
12/3/2012,11266.89
12/3/2012,12154.64
12/3/2012,13928.76
12/3/2012,15026.94
12/3/2012,15182.59
12/3/2012,15232.21
12/3/2012,15287.11
12/3/2012,15220.07
12/3/2012,15093.6
12/3/2012,15032.51
12/3/2012,14916.4
12/3/2012,15012.71
12/3/2012,16301.25
12/3/2012,17646.89
12/3/2012,17612.82
12/3/2012,17204.36
12/3/2012,16558.44
12/3/2012,15441.85
12/3/2012,13943.33
12/3/2012,12757.69
12/4/2012,12341.62
12/4/2012,11859.98
12/4/2012,11667.82
12/4/2012,11640.74
12/4/2012,11973.84
12/4/2012,12829.9
12/4/2012,14425.12
12/4/2012,15553.65
12/4/2012,15838.63
12/4/2012,15994.19
12/4/2012,16099.62
12/4/2012,16073.64
12/4/2012,15963.38
12/4/2012,15902.13
12/4/2012,15768.83
12/4/2012,15886.86
12/4/2012,17071.19
12/4/2012,17980.55
12/4/2012,17814.25
12/4/2012,17300.99
12/4/2012,16561.81
12/4/2012,15377.83
12/4/2012,13749.96
12/4/2012,12320.83
12/5/2012,11775.57
12/5/2012,11420.49
12/5/2012,11198.13
12/5/2012,11127.58
12/5/2012,11197.32
12/5/2012,11896.46
12/5/2012,13903.3
12/5/2012,14863.73
12/5/2012,15017.58
12/5/2012,15066.47
12/5/2012,15095.35
12/5/2012,15047.94
12/5/2012,15016.31
12/5/2012,15061.37
12/5/2012,15032.79
12/5/2012,15261.32
12/5/2012,16661.62
12/5/2012,17898.94
12/5/2012,17932.45
12/5/2012,17597.22
12/5/2012,17024.57
12/5/2012,15986
12/5/2012,14468.46
12/5/2012,13055.88
12/6/2012,12163.74
12/6/2012,11952.84
12/6/2012,12017.18
12/6/2012,12052.47
12/6/2012,12268.05
12/6/2012,13152.86
12/6/2012,15284.48
12/6/2012,16402.5
12/6/2012,16468.67
12/6/2012,16386.4
12/6/2012,16307.83
12/6/2012,16089.81
12/6/2012,15876.54
12/6/2012,15767.05
12/6/2012,15657.97
12/6/2012,15858.3
12/6/2012,17348.75
12/6/2012,18634.98
12/6/2012,18636.62
